category,search_term,search_term_en,country
General supplements,"supplement shop singapore instagram","supplement shop singapore instagram",sg
Vitamins,"vitamin shop singapore instagram","vitamin shop singapore instagram",sg
Protein powder,"protein powder shop singapore instagram","protein powder shop singapore instagram",sg
Collagen,"collagen shop singapore instagram","collagen shop singapore instagram",sg
Fat burners,"fat burner shop singapore instagram","fat burner shop singapore instagram",sg
Pre-workout,"pre workout shop singapore instagram","pre workout shop singapore instagram",sg
Creatine,"creatine shop singapore instagram","creatine shop singapore instagram",sg
Multivitamins,"multivitamin shop singapore instagram","multivitamin shop singapore instagram",sg
Fish oil,"fish oil shop singapore instagram","fish oil shop singapore instagram",sg
Glutathione,"glutathione shop singapore instagram","glutathione shop singapore instagram",sg
BCAA,"BCAA shop singapore instagram","BCAA shop singapore instagram",sg
Herbal supplements,"herbal supplement shop singapore instagram","herbal supplement shop singapore instagram",sg
Beauty supplements,"beauty supplement shop singapore instagram","beauty supplement shop singapore instagram",sg
General supplements,"ร้านอาหารเสริม อินสตาแกรม","supplement shop instagram",th
Vitamins,"ร้านวิตามิน อินสตาแกรม","vitamin shop instagram",th
Protein powder,"ร้านเวย์โปรตีน อินสตาแกรม","protein powder shop instagram",th
Collagen,"ร้านคอลลาเจน อินสตาแกรม","collagen shop instagram",th
Fat burners,"ร้านยาลดน้ำหนัก อินสตาแกรม","fat burner shop instagram",th
Pre-workout,"ร้านพรีเวิร์คเอาท์ อินสตาแกรม","pre workout shop instagram",th
Creatine,"ร้านครีเอทีน อินสตาแกรม","creatine shop instagram",th
Multivitamins,"ร้านมัลติวิตามิน อินสตาแกรม","multivitamin shop instagram",th
Fish oil,"ร้านน้ำมันปลา อินสตาแกรม","fish oil shop instagram",th
Glutathione,"ร้านกลูต้าไธโอน อินสตาแกรม","glutathione shop instagram",th
BCAA,"ร้าน BCAA อินสตาแกรม","BCAA shop instagram",th
Herbal supplements,"ร้านสมุนไพรเสริมอาหาร อินสตาแกรม","herbal supplement shop instagram",th
Beauty supplements,"ร้านอาหารเสริมความงาม อินสตาแกรม","beauty supplement shop instagram",th 
